donor_city,pre_yearly_max_mean_pm25,dropped
七台河,34.042186038788344,True
三明,26.28958146782797,True
三门峡,63.89637427052716,False
东营,51.46762248273796,False
中卫,41.162393567615375,False
中山,29.29382540463464,True
临沧,30.643670410084745,True
丹东,32.01964198868812,True
丽江,16.20795115560175,True
乌兰察布,27.65001489599666,True
乌海,43.028074404837874,False
乐山,47.763897770576705,False
九江,45.47030327566183,False
云浮,33.346867391512,True
亳,59.694724116997335,False
伊春,23.58552390772197,True
佳木斯,32.045739042199244,True
保定,71.16674049062483,False
信阳,56.35800619563864,False
克拉玛依,29.142272297500863,True
六盘水,33.36940176267938,True
内江,39.21216111341338,False
包头,42.88332294247031,False
北海,27.29606008565293,True
十堰,44.51517360844855,False
南平,23.954923273759935,True
双鸭山,29.486386466859226,True
合肥,49.0257772437745,False
吉安,40.358634685480446,False
吉林,39.87667225773391,False
吐鲁番,60.835513751932496,False
吕梁,53.77603271079121,False
吴忠,40.595421830604366,False
周口,63.009750495717995,False
呼伦贝尔,17.908221009592204,True
咸宁,37.45125291683121,False
咸阳,71.6605999549207,False
哈密,29.934012282537758,True
商洛,38.19940312450982,False
嘉峪关,32.05735675101341,True
四平,42.058895043813784,False
固原,35.14149331149976,False
孝感,45.72707639566477,False
宁德,24.224840913972777,True
安康,40.17122821489779,False
安顺,32.00206522975033,True
定西,40.98251751486183,False
宜宾,53.88980274293743,False
宜昌,54.18266759516352,False
宜春,40.55465775641493,False
宝鸡,54.07596818619293,False
宣城,44.96614185158809,False
宿迁,55.76556723135813,False
岳阳,45.44118313503467,False
崇左,32.260853532453936,True
巴中,34.84772700481112,True
巴彦淖尔,38.30757446252457,False
平凉,37.97660622109308,False
平顶山,69.52454347932755,False
广元,28.015884193816404,True
广安,41.10882778629049,False
庆阳,35.70060466744317,False
廊坊,53.680109335854915,False
延安,38.670504476368485,False
张家口,32.46123753391553,True
张家界,32.732371939700165,True
张掖,38.25742160527007,False
德阳,44.77782603094693,False
忻,52.59158333089832,False
怀化,36.02040707459868,False
惠,27.468831036577303,True
承德,34.47446647225542,True
抚,36.75224505502448,False
抚顺,45.524011713954835,False
拉萨,16.896461941635593,True
揭阳,34.9323303454415,True
攀枝花,33.8573733878625,True
新乡,66.57330952720562,False
新余,39.33760358498858,False
日喀则,16.01510585832937,True
昌都,17.63458127363031,True
晋中,56.82768085321721,False
景德镇,31.731543529801147,True
曲靖,28.916830117665036,True
朔,45.108376761801466,False
朝阳,42.27094110753547,False
本溪,36.570257244419395,False
来宾,41.057016517295025,False
松原,30.79672989378278,True
林芝,9.082037429260422,True
柳,41.13405963226087,False
桂林,38.974106641296416,False
梅,29.746228458589602,True
梧,37.59869512897176,False
榆林,38.426328787372704,False
武威,42.73912428116685,False
毕节,33.480303050333994,True
汉中,51.514788625820366,False
汕尾,22.88839019787125,True
江门,30.025224411925855,True
池,46.10992718843776,False
沈阳,43.26398910124456,False
河池,31.193388156495658,True
河源,29.77593106195941,True
泰,49.749729686386715,False
海口,18.133395847356425,True
淮北,59.75637016275846,False
深圳,25.248127680065082,True
清远,39.2511895924809,False
渭南,62.71010553916098,False
湛江,26.15330567867897,True
滨,59.88898027851509,False
漳,33.439717042361025,True
潮,28.3453480618453,True
濮阳,68.98835157477728,False
焦作,73.33787902988439,False
玉林,38.6432169776597,False
白城,30.70203097650241,True
白山,32.600572475842014,True
白银,39.45466641310237,False
百色,36.670701810479144,False
盘锦,39.7047901712306,False
眉山,40.378324261548606,False
石嘴山,43.958542115242864,False
石家庄,75.93584532673387,False
秦皇岛,41.69267371905141,False
绥化,39.94238261901317,False
绵阳,47.711006013863056,False
聊城,66.24768961223857,False
肇庆,37.47767643912617,False
自贡,54.29758745519886,False
芜湖,50.81241654424467,False
茂名,27.851551251949594,True
荆,47.890155417011684,False
荆门,59.33795833399196,False
莆田,26.53866608889932,True
菏泽,63.81288532468633,False
萍乡,44.557589430470344,False
营口,43.05306439487099,False
葫芦岛,47.65945338051498,False
衡水,68.15812617597265,False
衡阳,43.709972753010476,False
西宁,43.05599923016171,False
贵港,40.374676539411425,False
贵阳,31.794971231474463,True
贺,39.06908210237809,False
资阳,37.34835199189873,False
赤峰,33.053603686970185,True
辽源,38.45049312358589,False
辽阳,41.59424466123091,False
达,48.68157917297584,False
运城,65.82035900363961,False
通化,29.523115508527965,True
通辽,35.312534723917516,False
遵义,27.992706013871533,True
邢台,75.08899257139991,False
邯郸,75.5821667220832,False
邵阳,48.15016407649719,False
郴,31.211076299474232,True
鄂,46.817062312530325,False
鄂尔多斯,28.25712711975039,True
酒泉,34.91427012368086,True
金昌,26.316262313166973,True
钦,31.919342301779462,True
铁岭,43.55180756264987,False
铜仁,30.957263833730092,True
铜川,51.23924923721734,False
锦,49.48804281573469,False
镇江,55.157746115448006,False
阜新,40.31385646166063,False
防城港,29.411608545474152,True
阳江,30.54689944832625,True
陇南,34.97905190946124,True
随,45.591661633230856,False
雅安,41.208828328343884,False
鞍山,43.7607427787909,False
韶关,35.72511520275733,False
马鞍山,46.5253570221746,False
鸡西,37.132851092331784,False
鹤壁,62.48220984927288,False
鹤岗,27.59936091996527,True
鹰潭,37.25520659354702,False
黄冈,42.68987356972587,False
黄山,25.360172334098017,True
黄石,43.92069577166842,False
黑河,19.353938121160056,True
齐齐哈尔,30.98553987013938,True
龙岩,24.682783206937952,True
