donor_city,pre_overall_mean_pm25,dropped
七台河,32.34522714946801,True
三明,24.098657354539743,True
三门峡,54.98076213412172,False
东营,47.14816408575004,False
中卫,36.277544061753076,False
中山,24.857954954098314,True
临沧,28.684777086879976,True
丹东,30.30995833997844,True
丽江,13.635071498522317,True
乌兰察布,25.516105876611636,True
乌海,36.38450563682483,False
乐山,41.07539229510975,False
九江,41.40534598426461,False
云浮,27.969848370168535,True
亳,52.41330733162848,False
伊春,22.63169043712143,True
佳木斯,29.55978742355216,True
保定,59.59178815147103,False
信阳,47.66314715109756,False
克拉玛依,26.17849105921638,True
六盘水,26.48436446667962,True
内江,35.634227266168764,False
包头,41.62628112593552,False
北海,24.809788384337672,True
十堰,38.60454903292839,False
南平,21.21147934126235,True
双鸭山,27.985819921704934,True
合肥,41.91210260966472,False
吉安,33.82864571946502,True
吉林,39.60341817342941,False
吐鲁番,56.11225961357604,False
吕梁,42.8762395366892,False
吴忠,35.568282485278814,False
周口,54.47061319215636,False
呼伦贝尔,17.541104023754503,True
咸宁,33.23667440382755,True
咸阳,62.98807932620463,False
哈密,29.244963037165597,True
商洛,33.13990414062782,True
嘉峪关,29.502269245656638,True
四平,37.58046312993153,False
固原,28.368836080514686,True
孝感,40.92039315687836,False
宁德,23.593102511128837,True
安康,36.49234640462353,False
安顺,25.900838761111665,True
定西,31.237164353868174,True
宜宾,45.89412527256146,False
宜昌,47.9026795869115,False
宜春,35.18305957976247,False
宝鸡,49.679999793044836,False
宣城,38.84110422602391,False
宿迁,47.89015097285391,False
岳阳,41.01792396860904,False
崇左,28.93899809679293,True
巴中,32.5919904479312,True
巴彦淖尔,36.58267327870968,False
平凉,27.85371963065636,True
平顶山,58.60394755862155,False
广元,26.661609332816518,True
广安,35.21560031102018,False
庆阳,31.42138040479755,True
廊坊,47.397103356845925,False
延安,33.93122251342899,True
张家口,28.242939079011343,True
张家界,28.942098627162046,True
张掖,36.280219364128904,False
德阳,40.08570407376175,False
忻,46.06303323114695,False
怀化,32.982104956817295,True
惠,23.483280245814253,True
承德,30.983399040568674,True
抚,31.580239413227,True
抚顺,43.32820996264072,False
拉萨,13.474469778809539,True
揭阳,31.025742069428723,True
攀枝花,30.36806057170506,True
新乡,56.30975101435286,False
新余,34.57128170527341,True
日喀则,12.143039696680047,True
昌都,13.676342427504427,True
晋中,48.01437604550831,False
景德镇,28.066025743523,True
曲靖,23.55591817522364,True
朔,39.86194547197347,False
朝阳,38.44968597720169,False
本溪,34.98590221302597,True
来宾,35.923075921718876,False
松原,29.805682439180842,True
林芝,7.998362853642977,True
柳,35.04529380647975,False
桂林,33.97255377897169,True
梅,25.73690290344215,True
梧,31.0313254394619,True
榆林,35.775837263451336,False
武威,37.90043807094782,False
毕节,28.382867982592035,True
汉中,45.70098001765864,False
汕尾,20.30954934242965,True
江门,25.40519557538149,True
池,39.228496533869794,False
沈阳,41.81288144494348,False
河池,28.151568436227976,True
河源,25.287096358057727,True
泰,43.43523612835824,False
海口,16.172344295359693,True
淮北,53.11862098874394,False
深圳,22.30808825317932,True
清远,33.48803965160073,True
渭南,56.09686459417554,False
湛江,23.748244167210657,True
滨,52.845819728455645,False
漳,28.025540159208386,True
潮,26.63052793120086,True
濮阳,60.83488085986468,False
焦作,62.74686888555995,False
玉林,33.57994917289322,True
白城,27.910980912481797,True
白山,29.845290092715114,True
白银,33.213163050667944,True
百色,31.22601771061852,True
盘锦,38.01045694470053,False
眉山,35.67823766294511,False
石嘴山,40.15982519273904,False
石家庄,65.2993206998851,False
秦皇岛,39.27296133062366,False
绥化,38.73842784814471,False
绵阳,39.67348279720006,False
聊城,58.09805523766906,False
肇庆,30.5211532367798,True
自贡,46.38919301816151,False
芜湖,42.254271655966114,False
茂名,24.07870232045104,True
荆,42.15790270114194,False
荆门,51.850180461787915,False
莆田,24.655905786342956,True
菏泽,57.021838324683,False
萍乡,37.88091946668725,False
营口,41.434654581443525,False
葫芦岛,45.35272164281848,False
衡水,57.83596766625806,False
衡阳,39.640542395596725,False
西宁,37.168007503459854,False
贵港,34.55064388828701,True
贵阳,27.315604038434877,True
贺,32.32472015864478,True
资阳,33.46028451727015,True
赤峰,27.326819363297915,True
辽源,37.85027850595148,False
辽阳,40.74648951039998,False
达,44.31681180991381,False
运城,59.87166459524878,False
通化,28.245160830914337,True
通辽,34.54920545630444,True
遵义,22.307071951363376,True
邢台,63.86139345208662,False
邯郸,65.22728865196198,False
邵阳,42.062821438859196,False
郴,29.164170879864997,True
鄂,40.7210537809653,False
鄂尔多斯,25.80284160928185,True
酒泉,31.683468982509137,True
金昌,24.091031766063782,True
钦,28.2201005879059,True
铁岭,41.200274231003235,False
铜仁,26.400777414999684,True
铜川,46.2756200347734,False
锦,46.776257588843905,False
镇江,45.715830376626165,False
阜新,37.67382132696302,False
防城港,26.017722089228574,True
阳江,26.111254329050805,True
陇南,23.848479675826084,True
随,40.080778092375105,False
雅安,32.63413652364651,True
鞍山,43.061718929048716,False
韶关,29.323476161575595,True
马鞍山,41.05894451607685,False
鸡西,31.780758212558663,True
鹤壁,57.605668824200706,False
鹤岗,25.291700968588344,True
鹰潭,34.8621928608275,True
黄冈,38.807169010377955,False
黄山,22.573260483740256,True
黄石,38.66985950000426,False
黑河,17.66827499098329,True
齐齐哈尔,30.166193943022126,True
龙岩,21.825158568985245,True
